Scenario,Action
Eating lunch alone,Throw away
Eating Lunch with a friend,Pass on
Eating lunch alone,Throw away
Eating Lunch with a friend,Pass on
Eating lunch alone,Throw away
Eating Lunch with a friend,Pass on
Eating lunch alone,Throw away
Eating Lunch with a friend,Pass on
Eating lunch alone,Take home
Eating Lunch with a friend,Throw away
Eating lunch alone,Take home
Eating Lunch with a friend,Pass on
Eating lunch alone,Take home
Eating Lunch with a friend,Pass on
Eating lunch alone,Take home
Eating Lunch with a friend,Pass on
Eating lunch alone,Take home
Eating Lunch with a friend,Pass on
Eating lunch alone,Throw away
Eating Lunch with a friend,Throw away
Eating lunch alone,Take home
Eating Lunch with a friend,Take home
Eating lunch alone,Take home
Eating Lunch with a friend,Pass on
Eating lunch alone,Throw away
Eating Lunch with a friend,Throw away
Eating lunch alone,Take home
Eating Lunch with a friend,Take home
Eating lunch alone,Take home
Eating Lunch with a friend,Pass on
Eating lunch alone,Throw away
Eating Lunch with a friend,Pass on
Eating lunch alone,Take home
Eating Lunch with a friend,Take home
Eating lunch alone,Take home
Eating Lunch with a friend,Take home
Eating lunch alone,Take home
Eating Lunch with a friend,Take home
Eating lunch alone,Throw away
Eating Lunch with a friend,Pass on
Eating lunch alone,Take home
Eating Lunch with a friend,Pass on
Eating lunch alone,Throw away
Eating Lunch with a friend,Pass on
Eating lunch alone,Take home
Eating Lunch with a friend,Pass on
Eating lunch alone,Throw away
Eating Lunch with a friend,Pass on
Eating lunch alone,Take home
Eating Lunch with a friend,Take home
Eating lunch alone,Throw away
Eating Lunch with a friend,Pass on
Eating lunch alone,Take home
Eating Lunch with a friend,Take home
Eating lunch alone,Throw away
Eating Lunch with a friend,Pass on
Eating lunch alone,Take home
Eating Lunch with a friend,Pass on
Eating lunch alone,Throw away
Eating Lunch with a friend,Pass on
Eating lunch alone,Take home
Eating Lunch with a friend,Pass on
